line_id,hazard_class,overlap_km
287,NonWildland,17.41116017656614
881,Moderate,17.389663794603898
1623,High,17.37890547893992
564,NonWildland,17.3778820601366
895,High,17.369671793189912
455,Very High,17.346088789074567
526,NonWildland,17.344753704677764
51,NonWildland,17.332102802028068
741,NonWildland,17.331480394119804
150,NonWildland,17.30290338139242
217,Moderate,17.301997651293238
1369,High,17.258355567358617
1545,High,17.241745604976188
1246,NonWildland,17.239964782722215
475,NonWildland,17.18892490065939
1566,NonWildland,17.184968079569195
593,Very High,17.17161325966517
1090,Very High,17.11272054845717
972,High,17.03995199939664
1271,Very High,17.00805331884064
1972,High,16.99870165304894
742,NonWildland,16.91065035569721
567,NonWildland,16.89752027083152
972,Moderate,16.882451973254035
324,High,16.86829824369844
1584,High,16.835193736907524
655,Very High,16.801473848882576
1307,High,16.79467510592723
1023,Very High,16.713557700709526
699,NonWildland,16.655375098385505
1877,NonWildland,16.645776177783073
2045,Moderate,16.626751244623982
295,High,16.6134087583364
2046,Moderate,16.538304431135085
1869,High,16.502681246327086
1945,NonWildland,16.460608316917742
296,High,16.441497614736935
1946,NonWildland,16.436808444338112
1934,Very High,16.37163204296819
1197,NonWildland,16.35097606836205
230,NonWildland,16.349157835542435
1165,NonWildland,16.339220432947293
1670,NonWildland,16.334456714081085
327,NonWildland,16.32767037117227
1683,NonWildland,16.318847624465164
1752,NonWildland,16.273165518521374
1392,NonWildland,16.263013049999643
1768,Moderate,16.260499688127634
1507,NonWildland,16.253460735521355
1623,High,16.232470587587645
327,Moderate,16.227399606097215
562,Moderate,16.14378364112559
564,Very High,16.126617327894298
1945,High,16.107518585757077
1260,NonWildland,16.099515744250695
1545,High,16.03841332952896
1078,NonWildland,15.96171565946512
1702,High,15.95883763246979
1946,High,15.95049181325658
275,High,15.905198625848696
1932,Very High,15.904031358279706
1156,Moderate,15.892239407851363
229,NonWildland,15.88204669794014
1175,NonWildland,15.872156195025212
680,NonWildland,15.819724238088353
1159,Very High,15.808824562860934
1318,NonWildland,15.801423247756466
659,NonWildland,15.777786666384133
682,High,15.774969502185446
396,NonWildland,15.769746377008
548,NonWildland,15.741793673088859
1318,High,15.70524371010983
390,NonWildland,15.696140813539492
738,Very High,15.695207734554057
494,NonWildland,15.692577580772168
1699,NonWildland,15.658498798268617
1290,High,15.643125036158942
1544,High,15.617618300564892
614,Very High,15.617043429475626
865,High,15.615722898344771
2037,Very High,15.609917491828147
1825,Moderate,15.581376839608144
984,NonWildland,15.578006484903984
1559,Very High,15.557558385785258
483,NonWildland,15.533140962229881
1449,High,15.5309071177705
1362,NonWildland,15.468529110391795
1216,NonWildland,15.378542854774883
720,NonWildland,15.34356293282452
1762,High,15.339525244441575
1369,Very High,15.321771834814264
407,NonWildland,15.314953685879098
1596,NonWildland,15.299980142488893
385,High,15.257214111015033
1506,NonWildland,15.19413992395403
1847,Moderate,15.176747704508832
306,NonWildland,15.171939741145085
869,Very High,15.16673812359472
1658,High,15.12434558451998
1972,Moderate,15.11043778999253
1242,NonWildland,15.05376303661738
671,NonWildland,15.050749482334073
523,High,15.039152139504141
568,Moderate,14.986617418204489
1925,Very High,14.941017216751188
831,High,14.92871962732644
888,NonWildland,14.90533251176334
905,NonWildland,14.834641384388924
1095,NonWildland,14.829794741900994
2082,Moderate,14.79398188579196
994,Moderate,14.79218368352366
2047,Moderate,14.768991573796288
