hazard_class,overlap_km,share_of_total_%
NonWildland,13908.787465315316,40.67137312336109
Moderate,6286.233348591964,18.381885746595042
High,6876.888507280053,20.109049700041556
Very High,7126.069249952414,20.83769143000231
