line_id,joint_km
1779,2.878977839609704
2052,2.369640915701595
2053,2.3573103256377057
795,2.3450020609512627
626,2.3368084963390547
772,2.301639267741565
1789,2.125935191594808
2064,2.104791259480859
1276,1.7280797416950144
165,1.6465699210682054
1159,1.6009135066331628
1055,1.4154177447726324
1022,1.3960764027361445
1922,1.3528322878444088
2068,1.319236913639462
2067,1.2983909328241567
1925,1.2909951379246027
2044,1.274766534091792
1721,1.2630791404320825
1934,1.2579222398791903
2064,1.2176197479797892
34,1.1835282211684648
334,1.0405447931700296
2048,1.0313992938991998
2036,0.9828097001413136
1929,0.9383700428076147
769,0.8028925611975283
481,0.755929418425979
2015,0.7502735707136126
1234,0.6733586351401694
1228,0.6651749779447061
1243,0.5669700225368255
1929,0.5639986293976663
360,0.5545037464029258
1857,0.5514318647996344
1269,0.5453275587448584
1674,0.5022429729215957
1858,0.5002873540689244
233,0.49585399271138875
1085,0.47014592519458215
379,0.44637035827177257
312,0.40302917692553314
1918,0.37672333363975097
1418,0.35905802471549636
1516,0.3542263715575328
373,0.3457371512147232
928,0.3352974224327713
562,0.2999528657931726
786,0.2839544061120586
1378,0.2805517744976759
211,0.279789629146811
1218,0.2720833734329125
1272,0.25466170798129306
1922,0.22701269233489318
334,0.21794897450820772
1277,0.21454767305629924
546,0.20744127575311955
1338,0.19010678847266405
801,0.14823468645380494
2044,0.14770447459248795
1039,0.14026515600551337
681,0.13780613294830008
1484,0.12897739549513298
1449,0.11458726845856794
2049,0.09452034472897175
1868,0.04867772423980049
1843,0.038002983586581496
935,0.03579761424579538
816,0.035436963496084085
1526,0.03480342892572899
1269,0.03148365707121534
1453,0.029535086813613432
1864,0.026553353562532862
1810,0.02193551196996525
1159,0.017144975025734827
737,0.003184031536133634
1392,0.0013747306109263002
312,8.328530824254977e-05
